,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0, Nelly City Spud,Ride Wit Me,rnb,06iMqWThw4w8fTFyccvOwr,0.854,0.692,7,-6.625,1,0.0479,0.0668,0.0,0.247,0.753,101.865,291782,4
4, Blackstreet Dr. Dre Queen Pen,No Diggity,rnb,6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,304600,4
8, Mary J. Blige,Family Affair,rnb,3aw9iWUQ3VrPQltgwvN9Xu,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867,4
17, 50 Cent,In Da Club,rnb,7iL6o9tox1zgHpKUfh9vuC,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,193467,4
18, Warren G Nate Dogg,Regulate,rnb,7nYvUtkQMx1v80S2FH2s9J,0.849,0.521,11,-12.999,0,0.216,0.304,1.65e-06,0.115,0.763,95.265,248867,4
22, Busta Rhymes Mariah Carey Flipmode Squad,I Know What You Want (feat. Flipmode Squad),rnb,0YImOCkIJ2PWhCXaURCZnY,0.648,0.759,6,-4.315,1,0.306,0.0142,0.0,0.648,0.518,85.996,324307,4
26, Diddy Ginuwine Loon Mario Winans,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",rnb,6Wt5QBzHp9vdSLAFlvdnDQ,0.713,0.471,1,-7.392,0,0.483,0.421,0.0,0.0308,0.781,199.765,285587,4
27, The Notorious B.I.G.,Hypnotize - 2014 Remaster,rnb,7KwZNVEaqikRSBSpyhXK2j,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,4
28, Nelly Kelly Rowland,Dilemma,rnb,0ARK753YaiJbpLUk7z5yIM,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4
29, Ja Rule Ashanti,Always On Time,rnb,4hrae8atte6cRlSC9a7VCO,0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,245133,4
33, Next,Too Close,rnb,5IFCyWplye09HytIP80RCF,0.847,0.402,7,-9.952,1,0.0641,0.0118,0.0,0.283,0.752,99.693,259440,4
37, Usher,U Remind Me,rnb,2QsZVnbWVSjKMXK6K3uRBL,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,266893,4
62, Coolio L.V.,Gangsta's Paradise,rnb,7lQWRAjyhTpCWFC0jmclT4,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974,240693,4
63, OutKast,Ms. Jackson,rnb,0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,270507,4
64, Diddy Usher Loon,I Need a Girl (Pt. 1) [feat. Usher & Loon],rnb,7lVNTXkI3cHFvcXiI8damb,0.66,0.707,6,-5.758,1,0.208,0.397,0.0,0.211,0.761,89.279,268800,4
68, Ginuwine,Pony,rnb,6mz1fBdKATx6qP4oP1I65G,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,4
72, Sisqo,Thong Song,rnb,5Mmk2ii6laakqfeCT7OnVD,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,253733,4
76, Jennifer Lopez Jadakiss Styles P,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,rnb,7LqjznQwfrax7MjQXmxqdQ,0.845,0.768,6,-5.448,1,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,187840,4
80, Ashanti,Foolish,rnb,6zMUIb4uce1CzpbjR3vMdN,0.665,0.695,0,-5.763,1,0.0532,0.347,0.0,0.106,0.707,90.119,227387,4
84, Jagged Edge Nelly,Where the Party At (feat. Nelly),rnb,5mNV8Mz59bzyuQ53gTw0c0,0.596,0.661,5,-6.239,0,0.226,0.31,0.0,0.0847,0.86,129.491,232573,5
93, Jennifer Lopez Ja Rule,I'm Real (feat. Ja Rule) - Murder Remix,rnb,09SzV1FREkpsd2XSjTr03h,0.703,0.596,11,-7.669,0,0.149,0.216,0.0,0.0663,0.57,83.529,258667,4
94, Bow Wow Ciara,Like You (feat. Ciara),rnb,3jEqrIfwKO0M8ALu3TGilF,0.714,0.6,6,-8.365,1,0.0876,0.0465,0.0,0.0646,0.504,82.017,205840,4
95, Usher,You Make Me Wanna...,rnb,47TqCCnEliDp8NRDyIQoQq,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4
99, Craig David,7 Days,rnb,0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.013,235133,4
108, Destiny's Child,Say My Name,rnb,7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,271333,4
117, Ja Rule Ashanti,Mesmerize,rnb,5dL5jv5GSCRoDhTtnY8maL,0.769,0.646,1,-6.653,1,0.199,0.0566,0.0,0.406,0.433,90.079,278693,4
121, Baby Bash Frankie J,Suga Suga,rnb,6Nq5lE0CeOAAAqN4qhkbZU,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,239027,4
125, TLC,No Scrubs,rnb,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4
129, DMX,Party Up,rnb,0LWkaEyQRkF0XAms8Bg1fC,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936,268867,4
130, Jamelia,Superstar,rnb,3oobWqIgYrSRg18uqRuPIF,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01,215480,4
131, 112 Diddy,Peaches & Cream (feat. P. Diddy),rnb,6iajHa34cSiD5s42Cq9miJ,0.706,0.537,7,-6.347,1,0.348,0.00887,0.0,0.129,0.775,203.746,225947,4
132, 50 Cent Nate Dogg,21 Questions,rnb,41bIQPBE1lFN0mmw6Lmssz,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427,4
133, Brandy Monica,The Boy Is Mine,rnb,6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,294787,4
142, Nelly,Hot In Herre,rnb,04KTF78FFg8sOHC1BADqbY,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,228240,4
143, Timbaland Justin Timberlake Nelly Furtado,Give It To Me,rnb,2KjpWqvSKoQh0XIAywplWn,0.978,0.687,8,-4.957,1,0.0646,0.197,0.00708,0.107,0.784,110.616,234057,4
144, Eve,Who's That Girl?,rnb,3uVE5vLKkigiWBOQEgmdDk,0.77,0.86,6,-3.702,1,0.19,0.0159,0.000713,0.0682,0.547,96.428,281907,4
145, Blu Cantrell,Hit 'Em Up Style (Oops!),rnb,4zYTZvtcww7OWKie7fxA9E,0.667,0.773,5,-4.983,0,0.0586,0.201,0.0,0.404,0.667,89.976,250707,4
154, Pras Ol' Dirty Bastard Mýa,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),rnb,31bf9SEOppLU6lQ85d8om6,0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,4
163, Ashanti,Rock Wit U (Awww Baby),rnb,6pWzCKTrKrwbUPzY8RLCoP,0.71,0.797,4,-3.006,0,0.0582,0.408,0.0,0.16,0.849,94.998,209120,4
164, Cassie,Me & U,rnb,7k6IzwMGpxnRghE7YosnXT,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,192213,4
168, Usher Alicia Keys,My Boo,rnb,68vgtRHr7iZHpzGpon6Jlo,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,223440,4
177, Ja Rule Case,Livin' It Up,rnb,52gqeRlrBE7hqMlRxEsi6y,0.874,0.768,6,-4.086,1,0.311,0.0554,0.0,0.041,0.636,106.095,257067,4
178, Jennifer Lopez,Love Don't Cost a Thing,rnb,4LK1zq7x8Xxd7Nc32anUoH,0.774,0.835,4,-5.137,0,0.0797,0.00265,3.14e-06,0.252,0.655,97.503,222693,4
179, Montell Jordan,Get It On Tonite,rnb,3ii5VBrIXJXKEVkjx1IAdP,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008,276267,4
180, Sean Paul Beyoncé,Baby Boy (feat. Beyoncé ),rnb,29LHe8kG3PraghUZOZYsw4,0.658,0.621,1,-5.725,1,0.231,0.0667,2.46e-06,0.142,0.817,91.267,246707,4
184, 112,Dance With Me,rnb,6uRH1qMz30ZBwwUG0IYE5s,0.912,0.511,9,-6.365,1,0.203,0.0259,0.0,0.0442,0.611,101.628,231800,4
188, Ciara Missy Elliott,"One, Two Step (feat. Missy Elliott)",rnb,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,4
189, Cam’ron Juelz Santana,Oh Boy,rnb,4gdQ8QShlC3toP9Mkc8DwB,0.754,0.767,6,-5.586,1,0.145,0.0216,0.0,0.172,0.828,83.014,204707,4
190, Ciara Petey Pablo,Goodies (feat. Petey Pablo),rnb,3dFwpxh2yH7C7p9BGEKLVB,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,223000,4
194, 50 Cent,If I Can't,rnb,6mcu7D7QuABVwUGDwovOEh,0.886,0.626,11,-2.528,0,0.277,0.265,0.0,0.024,0.856,93.989,196627,4
195, Ms. Lauryn Hill,Doo Wop (That Thing),rnb,0uEp9E98JB5awlA084uaIg,0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,320267,4
199, Usher,U Got It Bad,rnb,7J41dYQolQJEtj3UmKLu5r,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840,4
