,Artiste,Titre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
1,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
2,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
3,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
4,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,238733,4
5,Alan Walker,Faded,7gHs73wELdeycvS48JfIos,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,4
6,Aaron Lewis,Country Boy (feat. George Jones & Charlie Daniels),77A7dWpSxVoauUbJn83Oj3,0.595,0.667,6,-6.442,1,0.034,0.296,0.0,0.109,0.272,121.949,283347,4
7,Aaron May,Let Go,1k5t0MC77UuwEp5FfZnKOd,0.87,0.498,9,-8.339,0,0.0623,0.046,0.0,0.146,0.692,110.019,176532,4
8,Aaron Smith,Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053,4
9,Abdul Malik Jabbar,Alamnahrah,46w6fZgUExLTx5b7BYY2q9,0.32,0.449,2,-11.189,1,0.129,0.747,0.000602,0.12,0.305,175.521,66822,5
10,Abdul Malik Jabbar,Alam,2kM4xApEKRxT8Ho0mB6P7J,0.502,0.0588,9,-18.303,0,0.0625,0.955,0.26,0.221,0.493,111.598,65804,5
11,Abd Al Malik,Gibraltar,68Zdc7gOYQS6EOVNJUhO5n,0.638,0.836,6,-5.77,0,0.152,0.406,0.0,0.0566,0.907,136.927,232987,4
12,Absynthe Minded,"My Heroics, Part One",2ZSHbGrO7VDM0UviKa46oI,0.709,0.394,4,-12.647,1,0.0249,0.612,0.000832,0.113,0.555,93.269,275307,4
13,Absynthe Minded,Envoi,3uAnkVQtHv2nM9eA0xEXrr,0.825,0.593,0,-10.648,1,0.0317,0.118,0.00859,0.148,0.692,119.996,245133,4
14,Absynthe Minded,Easy,5vV4f6dXcYdI1yZ37ecS8v,0.737,0.404,2,-10.818,1,0.0357,0.601,0.196,0.0858,0.807,96.004,320894,4
15,Adam Cohen,Cry Ophelia,0NI1qRlQr49laU3io14jwg,0.629,0.701,9,-7.742,1,0.0287,0.204,5.75e-05,0.0624,0.4,90.015,227427,4
16,Adam Cohen,What Other Guy,4LvSGKv16BANc4Okmk5yaU,0.365,0.283,1,-13.229,1,0.0488,0.773,0.000329,0.106,0.295,180.484,282280,3
17,Omer Adam,יש לנו את הכוח,6nib2o1RZE0FHvVJiF9SgH,0.631,0.536,11,-7.558,1,0.0564,0.678,0.0,0.0687,0.509,136.007,256750,4
18,Adam Naas,Fading Away,1fsarPmsdYzQuEtgeqLusc,0.687,0.484,5,-9.096,1,0.0325,0.402,4.79e-06,0.0607,0.268,100.074,247053,4
19,Adam Naas,I Want To Get You Close To Me,6djHeQOMCeQUnX6rCvH8WW,0.752,0.388,7,-7.2,0,0.076,0.362,0.000225,0.103,0.422,86.991,219720,4
20,Adam Naas,No Love Without Risk,2NmeXMqxlygUP25elXPXOY,0.714,0.333,2,-8.431,1,0.0492,0.4,0.00215,0.0867,0.0776,140.973,280707,3
21,Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4
22,Adele,Make You Feel My Love,6P7tTFzn6oNa0GL8w8oazE,0.552,0.18,10,-10.583,1,0.0293,0.894,0.000393,0.105,0.0896,76.995,212040,4
