,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,n'dour youssou  cherry neneh,7 seconds,1994,1,4sv1iemiMkkZVTUbV16C8L,57,0.679,0.659,1,-10.826,0,0.0269,0.0771,4.12e-06,0.316,0.528,154.171,306227,4
1,i am,je danse le mia,1994,2,6P8YkdLMTBA7z5nhKXgyi3,57,0.833,0.785,10,-5.343,0,0.152,0.541,3.21e-06,0.173,0.578,103.004,267240,4
2,reel 2 real  stuntman mad,i like to move,1994,3,6dHTkQYY3zdR9i9Nj0IGVW,62,0.863,0.781,5,-8.546,0,0.0785,0.0394,0.000292,0.125,0.764,122.938,230760,4
3,red axelle,sensualite,1994,4,6ri4yWOtcfGpTcigL2YeBe,56,0.654,0.514,6,-10.124,1,0.0291,0.221,0.0,0.0322,0.763,96.079,232000,4
4,springsteen bruce,streets of philadelphia (b o f ),1994,5,3fbnbn6A5O5RNb08tlUEgd,72,0.741,0.29,5,-13.251,1,0.0302,0.294,0.118,0.0924,0.443,93.699,195080,4
5,ze kick billy  gamins en folie les,mangez-moi !,1994,6,34cT8Qvq2IYoqCQ3dlNvrW,46,0.675,0.523,7,-13.489,1,0.126,0.202,0.0,0.313,0.883,89.759,232333,4
6,ram jam,black betty (musique du spot tv du parfum 'rebel' de gemey),1994,7,2ZOTtG7v1OrSNs6EINIGb4,67,0.465,0.865,11,-9.573,0,0.098,0.018,0.00135,0.0769,0.677,117.528,237893,4
7,carey mariah,without you,1994,8,1kMOJBmpfWD9fir6st9uqS,70,0.576,0.526,6,-8.524,1,0.0325,0.323,2.01e-06,0.0548,0.147,122.06,213667,4
8,corona,the rhythm of the night,1994,9,0ofMkI3jzmGCElAOgOLeo3,69,0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.808,264280,4
9,east 17,it's alright,1994,10,0hiUOCWNdPefjaEAjcJ8Cq,51,0.612,0.934,5,-4.767,0,0.0417,0.0197,0.0,0.12,0.391,129.941,280961,4
10,cliff jimmy,i can see clearly now (b o f  'rasta rockett'),1994,11,7aJZxI6TVdIvQSuWxQ4rqp,65,0.799,0.662,7,-8.585,1,0.0347,0.00482,0.000505,0.0484,0.717,120.082,196000,4
11,dion celine,the power of love,1994,12,5kK1Iru9ogP3Iy1zsANU1n,68,0.546,0.519,8,-9.072,1,0.0291,0.36,0.00046,0.24,0.247,140.054,342400,4
12,pausini laura,la solitudine,1994,13,5bxQHscWvyaQbm37igKP4K,59,0.574,0.467,1,-6.374,1,0.0381,0.738,0.0,0.149,0.256,131.89,240560,4
13,wet wet wet,love is all around (b o f  '4 mariages et un enterrement'),1994,14,0PCGfA36HrVPmsBZJ57zOU,69,0.523,0.689,10,-6.58,1,0.027,0.228,0.0,0.109,0.547,84.09,246240,4
14,all for one,i swear,1994,15,4WUnM4KNZ0kjp0CUeoyOnS,67,0.532,0.407,6,-9.658,0,0.0233,0.235,0.0,0.117,0.23,83.207,259853,4
15,ace of base,happy nation,1994,16,4VQBRk5uj9fauyu26w22Pz,0,0.804,0.589,11,-7.908,1,0.0504,0.00249,0.00347,0.0278,0.923,121.996,238033,4
16,ace of base,the sign,1994,17,0hrBpAOgrt8RXigk83LLNE,69,0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,191240,4
17,john elton,can you feel the love tonight,1994,18,5KlCWDbatUCBhvN7ZwyeEF,45,0.298,0.382,10,-7.812,1,0.0299,0.798,9.87e-06,0.0988,0.124,125.473,241893,4
19,john elton,can you feel the love tonight,1995,23,5KlCWDbatUCBhvN7ZwyeEF,45,0.298,0.382,10,-7.812,1,0.0299,0.798,9.87e-06,0.0988,0.124,125.473,241893,4
21,carey mariah,hero,1994,19,4FCb4CUbFCMNRkI6lYc1zI,72,0.501,0.378,4,-9.37,1,0.029,0.735,0.0,0.119,0.178,119.987,257733,4
22,breeders the,cannonball,1994,20,2hjGuRIEfEGzQ5MEWLowiU,65,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.508,213693,4
23,tonton david,sur et certain,1994,22,463seeNOygIQDoj1W7kGEr,34,0.724,0.881,7,-8.133,1,0.0348,0.228,0.000478,0.0641,0.969,144.098,235627,4
24,mo-do,eins zwei polizei,1994,23,015p8TgFahkz0viuux9YGJ,53,0.712,0.946,4,-11.8,0,0.0321,0.0127,0.253,0.419,0.983,144.885,313427,4
25,big mountain,baby i love your way,1994,24,1Rvl8qsKJurfFTyWLBI9ib,69,0.651,0.747,1,-7.269,0,0.0699,0.0528,0.0,0.207,0.776,147.518,249520,4
26,m people,moving on up,1994,25,6vGW3d8X48CBaLdU0PQbey,64,0.899,0.857,0,-6.128,0,0.037,0.0499,0.0299,0.112,0.961,125.073,215533,4
27,madonna,secret,1994,26,15FcP9qwmIKqaD5NhfhNpu,52,0.813,0.655,1,-7.884,1,0.0262,0.101,6.65e-05,0.146,0.46,99.982,304933,4
29,madonna,secret,1995,56,15FcP9qwmIKqaD5NhfhNpu,52,0.813,0.655,1,-7.884,1,0.0262,0.101,6.65e-05,0.146,0.46,99.982,304933,4
