,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,daniel powter,bad day,2006,1,0mUyMawtxj1CJ76kn9gIZK,76,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,233640,4
1,sean paul,temperature,2006,2,0k2GOhqsrxDTAbFFSdNJjT,77,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,218573,4
2,nelly furtado ring timbaland,promiscuous,2006,3,47aQT2aV12TyilaoYi1NiD,73,0.795,0.978,10,-6.097,0,0.0459,0.046,8.29e-05,0.143,0.843,114.321,242200,4
3,james blunt,you're beautiful,2006,4,0vg4WnUWvze6pBOJDTq99k,76,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,209493,4
4,shakira ring wyclef jean,hips don't lie,2006,5,3ZFTkvIE7kyPt6Nu3PEa7V,83,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,218093,4
5,natasha bedingfield,unwritten,2006,6,1D1nixOVWOxvNfWi0UD7VX,76,0.706,0.801,5,-6.333,1,0.0399,0.00577,0.0,0.0822,0.63,100.013,259333,4
6,gnarls barkley,crazy,2006,7,2N5zMZX7YeL1tico8oQxa9,72,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4
7,chamillionaire ring krayzie bone,ridin',2006,8,3kZoay4ANo86ehb6s4RwS9,71,0.787,0.799,8,-4.68,0,0.0993,0.189,0.0,0.3,0.835,143.052,303053,4
8,justin timberlake,sexyback,2006,9,0O45fw2L5vsWpdsOdXwNAR,77,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,242733,4
10,justin timberlake,sexyback,2007,63,0O45fw2L5vsWpdsOdXwNAR,77,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,242733,4
12,mary j  blige,be without you,2006,11,2YegxR5As7BeQuVp2U6pek,62,0.724,0.705,2,-5.859,0,0.112,0.067,0.0,0.262,0.662,146.589,246333,4
13,nelly ring paul wall ali  gipp,grillz,2006,12,6zS6zUoWh8QluIZ2lv9tWb,58,0.865,0.514,4,-7.251,0,0.241,0.0399,0.0,0.255,0.822,82.987,271240,4
14,the fray,over my head (cable car),2006,13,1N62wozuHCvczCkY4QidpP,69,0.592,0.729,8,-4.156,1,0.0448,0.022,0.0,0.0653,0.709,116.03,236267,4
15,the pussycat dolls ring snoop dogg,buttons,2006,15,3BxWKCI06eQ5Od8TY2JBeA,65,0.57,0.821,2,-4.38,1,0.267,0.178,0.0,0.289,0.408,210.857,225560,4
16,chris brown,run it!,2006,16,7xYnUQigPoIDAMPVK79NEq,71,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,229867,4
17,ne-yo,so sick,2006,17,6brl7bwOHmGFkNw3MBqssT,77,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,207187,4
18,yung joc,it's goin' down,2006,18,05Sgj1Hx03ZXc57gsV1kfX,66,0.888,0.577,1,-7.702,0,0.0612,0.0986,0.0,0.131,0.609,84.003,241840,4
19,rihanna,sos,2006,19,30cSNer6TV8x2utjULVeQ5,69,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,238920,4
