,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0, Neil Swainson Quintet Joe Henderson Woody Shaw,49th Parallel,jazz,6uEDQ3D4Lx83fZwbgLn895,0.406,0.6,2,-7.956,1,0.045,0.131,0.0676,0.209,0.262,116.751,527133,4
4, Cannonball Adderley,Love For Sale - Remastered,jazz,16Po3i2Kcsy74jz0lp6fdJ,0.582,0.343,5,-8.004,0,0.0428,0.735,0.0,0.125,0.462,88.144,424640,4
5, John Coltrane,Blue Train - Remastered 2003,jazz,6ZgaUtMlUzUf7SqbUUnfbu,0.506,0.493,8,-7.759,1,0.0427,0.798,0.00355,0.307,0.584,134.77,644013,4
6, Miles Davis Quintet,It Could Happen To You,jazz,34xixFi5y3I5FIOH1ZWisx,0.623,0.403,5,-11.121,0,0.0426,0.451,1.13e-05,0.448,0.631,93.911,396960,4
7, Clifford Brown Max Roach Quintet,Joy Spring,jazz,2oMaXY0yiWhAEWD7SutXh2,0.654,0.334,8,-12.662,1,0.0521,0.702,0.714,0.114,0.697,81.544,410667,4
8, Freddie Hubbard,Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition,jazz,4N6JkrGD78eLooaTDmwo9s,0.418,0.227,4,-15.537,0,0.0379,0.912,0.822,0.0956,0.21,103.586,395560,4
9, Hank Mobley,This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,jazz,5f0n6K8hW2RIVXuZjxO0bu,0.587,0.673,10,-7.858,1,0.0509,0.744,0.00618,0.0721,0.788,123.407,385867,4
10, Lee Morgan,The Sidewinder - Remastered 1999/Rudy Van Gelder Edition,jazz,1dZHIbmuBDAwXfQOM4dyM3,0.473,0.67,8,-7.756,1,0.0353,0.446,3.15e-06,0.0957,0.808,152.484,625293,4
11, Sonny Rollins Tommy Flanagan Doug Watkins Max Roach,St. Thomas,jazz,0zQE77yszbyv61M4NboU2u,0.541,0.607,0,-8.435,1,0.0438,0.727,0.442,0.0997,0.754,104.96,406267,4
12, Art Blakey,Moanin',jazz,4Vkk3iD1VrENHJEACNddvt,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,570720,4
